Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000753,5.007644030878014,JMSU1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000754,1.8237493603082728,L428,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000755,0.0565835283663675,HCC2218,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000756,1.6461626571578936,GI1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000757,0.3103401206121505,A427,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000758,3.881664619320345,MKN74,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000759,0.3448284969974411,MDAMB175VII,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000760,1.752748591407134,LNZ308,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000761,1.01435529297707,NUGC2,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000762,4.614120868789254,YD38,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000763,1.1890338243900171,MM1S,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000764,3.150559676575381,SH10TC,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000765,0.7739963251111731,WM983B,Melanoma,Skin,Melanoma
ACH-000766,1.1890338243900171,NCIH1648,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000767,0.2265085298086797,NCIH526,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000768,4.351910961103077,MDAMB231,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000769,1.4329594072761065,LK2,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000770,0.4005379295837288,P31FUJ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000771,1.6915341649192002,BICR56,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000772,0.2265085298086797,TE441T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000773,6.025693273680773,KIJK,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000774,4.532940288372874,RERFLCAD2,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000775,0.6780719051126377,NCIH727,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000776,3.5801454844233804,ONS76,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000777,1.7180875839605168,KYSE30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000778,5.038260575175349,HSC3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000779,2.1342209397606338,PC9,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000780,1.5310694927259538,NCIH1105,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000781,0.6870606883398922,NCIH2023,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000782,0.3103401206121505,SEM,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000783,0.1505596765753814,CAMA1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000784,2.735522177296537,KYSE70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000785,1.7865963618908067,NCIH2126,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000786,0.5160151470036647,DAUDI,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000787,4.856487779495678,LXF289,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000788,1.811471030529836,A2058,Melanoma,Skin,Melanoma
ACH-000789,0.2016338611696504,NCIH810,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000790,0.9781956296816516,SHP77,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000791,4.791814071161826,RERFLCAD1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000792,7.781556431254331,BFTC909,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000793,1.144046369616707,KATOIII,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000794,0.9411063109464316,BICR22,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000796,3.356143810225275,MCAS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000797,3.354734239970604,HLFA,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000798,0.9708536543404837,CL40,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000799,1.0285691521967708,HS695T,Melanoma,Skin,Melanoma
ACH-000800,0.0565835283663675,NCIH446,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000801,2.3015876466031866,HS936T,Melanoma,Skin,Melanoma
ACH-000802,1.6415460290875237,BFTC905,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000803,1.1953475983222193,COLO668,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000804,0.137503523749935,NB1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000805,0.8639384504239714,COLO679,Melanoma,Skin,Melanoma
ACH-000806,3.929790997718597,L540,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000807,1.565597175854225,SNU738,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000808,3.787641414483326,HUH28,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000809,2.424922088210688,KYSE410,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000810,1.1890338243900171,SKMEL30,Melanoma,Skin,Melanoma
ACH-000811,1.0285691521967708,SKOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000812,0.7311832415722002,COLO783,Melanoma,Skin,Melanoma
ACH-000813,3.418189947945766,T3M10,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000814,1.3391373849195856,HS939T,Melanoma,Skin,Melanoma
ACH-000815,2.646162657157894,KMH2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000816,0.3448284969974411,NCIH524,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000817,1.989139007368233,RPMI8226,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000818,0.5849625007211562,BT483,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000819,2.3673710656485296,LN18,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000820,0.1110313123887439,SW403,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000821,2.073820233291672,EJM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000822,0.4005379295837288,SKMEL24,Melanoma,Skin,Melanoma
ACH-000823,0.1890338243900171,KYSE140,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000824,0.9486008474933558,KYSE510,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000825,4.048759311919856,HOP92,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000826,4.924099885640741,CAL12T,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000827,2.2957230245399685,WM793,Melanoma,Skin,Melanoma
ACH-000828,0.1763227726404629,ZR7530,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000829,4.511594541537413,HUNS1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000830,1.4698859762744636,NCIH1436,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000831,0.3561438102252753,HEC50B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000832,3.168321115739723,CAL27,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000833,2.0,RH30,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000834,1.2868811477881614,UMUC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000835,2.3950627995175777,GCT,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-000836,3.399171093819823,YD15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000837,3.625270489374693,NCIH322,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000838,0.2387868595871164,AMO1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000839,3.1292830169449664,SCABER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma
ACH-000840,1.632268215499513,HCC366,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000841,3.8268026842858265,NCIH2087,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000842,1.280956313831056,SW480,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000843,0.6690267655096305,HARA,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000844,1.0285691521967708,DMS454,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000845,5.218781167784069,NCIH1373,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000846,2.9981955031532523,FADU,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000847,0.3561438102252753,HGC27,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000848,0.6229303509201767,JHH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000849,1.0772429989324606,MDAMB468,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000850,0.8953026213333066,HS698T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000851,0.0976107966264223,MORCPR,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000852,1.8439838440483265,NCIH1435,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000853,0.0976107966264223,NCIH661,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000854,0.4222330006830478,OCIMY5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000855,3.792855352362489,KYSE150,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000856,0.1243281350022017,CAL51,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000857,5.500802053057158,CAL851,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000858,0.5945485495503542,KNS62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000859,3.752748591407134,HCC1954,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000860,3.7463127664254574,NCIH358,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000861,3.7516779456875775,HOP62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000862,2.189033824390017,KMBC2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000863,4.602884408718419,DBTRG05MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000864,0.4750848829487828,COLO684,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000865,0.6959938131099002,KYSE450,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000866,1.1953475983222193,NCIH1048,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000867,0.1763227726404629,CHAGOK1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000868,3.3291235962915664,HCC1195,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000869,2.070389327891398,NCIH1568,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000870,1.565597175854225,NCIH1930,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000871,1.4698859762744636,NCIH510,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000872,0.925999418556223,HCC515,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000873,1.144046369616707,KYSE270,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000874,0.137503523749935,RS411,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000875,5.068670810665099,NCIH2347,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000876,1.411426245726465,MDAMB415,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000877,0.5655971758542251,EB1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000878,1.4698859762744636,HCC15,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000879,1.3334237337251915,MFE296,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000880,1.3504972470841332,AGS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000881,0.1890338243900171,MELJUSO,Melanoma,Skin,Melanoma
ACH-000882,2.526068811667588,IGR1,Melanoma,Skin,Melanoma
ACH-000883,1.7092906357233577,SW1783,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000884,0.5459683691052926,MDAMB435S,Melanoma,Skin,Melanoma
ACH-000885,1.1699250014423124,TOV21G,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000886,4.185073637876762,NCIH2009,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000887,1.4436066514756147,SF172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000888,1.9745293124838816,NCIH1793,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000889,0.4329594072761063,KMM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000890,0.3785116232537298,SW1271,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000891,2.063502942306158,HCC1438,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000892,0.7048719644563528,NCIH1563,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000893,0.9927684307689242,NCIH1651,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000894,4.203201156316611,NCIH1869,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000895,0.7136958148433591,CL34,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000896,5.805808348701467,647V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000897,5.443606651475615,FTC238,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000898,1.2868811477881614,SNU719,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000899,0.2016338611696504,WM88,Melanoma,Skin,Melanoma
ACH-000900,0.2387868595871164,NCIH23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000901,3.4449320489421824,HCC1359,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000902,0.0426443374084937,CAL148,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000903,2.3045110418099526,FTC133,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000904,0.2868811477881615,NCIH2106,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000905,5.393004256898322,5637,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000906,4.57106999816771,ES2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000907,3.701549056943071,SNU349,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000908,0.2387868595871164,SNU520,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000909,0.6690267655096305,JHUEM2,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000910,0.2141248053528473,MDAMB453,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000911,5.305240965954483,NUGC3,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000912,3.049630767724601,NCIH2286,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000913,2.73768676140986,ESS1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000914,0.6040713236688608,HT,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000915,0.3673710656485294,IPC298,Melanoma,Skin,Melanoma
ACH-000916,0.632268215499513,NCIH1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000917,1.6040713236688608,TE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000918,0.722466024471091,MOLT16,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000919,1.0356239097307212,IM95,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000920,0.3448284969974411,CMLT1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000921,3.1176950426697547,NCIH157DM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000922,0.4005379295837288,RCHACV,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000923,0.070389327891398,BCP1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000924,0.4436066514756146,NCIH2172,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000925,1.3785116232537298,DV90,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000926,0.3219280948873623,HT55,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000927,0.1505596765753814,BT474,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000928,0.5360529002402097,JHUEM1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000929,3.23112515787905,NCIH2110,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000930,0.6135316529179271,HCC1569,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000931,0.1890338243900171,HMCB,Melanoma,Skin,Melanoma
ACH-000932,0.4222330006830478,SNU1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000933,6.086826217702072,SNU324,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000934,3.063502942306158,MDAMB361,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000935,2.570462931026041,MDST8,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000936,1.0840642647884746,EFO27,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000937,0.9855004303048848,PF382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000938,1.8914191868460783,NALM6,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000939,0.9486008474933558,SKUT1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000940,1.7355221772965377,AN3CA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000941,0.0565835283663675,HEC1B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000942,0.1763227726404629,HPBALL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000943,7.157751136539652,RKO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000944,0.1634987322828795,NAMALWA,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000945,3.864928972289788,NCIH650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000946,3.665620164066381,HEC265,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000947,0.5058909297299572,OVK18,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000948,2.070389327891398,2313287,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000949,1.111031312388744,TGBC11TKB,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000950,1.0908534304511135,LOVO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000951,0.9411063109464316,NCIH2342,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000952,0.0976107966264223,MDAPCA2B,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000953,0.3895668117627256,SUPT1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000954,0.6780719051126377,HEC1A,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000955,0.5058909297299572,SNU407,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000956,0.3334237337251918,22RV1,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000957,0.6870606883398922,LS180,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000958,1.5008020530571575,SW48,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000959,0.879705766282288,SNUC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000960,0.2750070474998698,REH,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000961,1.0214797274104517,ISHIKAWAHERAKLIO02ER,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000962,1.280956313831056,OC314,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000963,0.2016338611696504,CCK81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000964,0.4750848829487828,MOLT3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000965,0.8073549220576041,RL952,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000966,0.3219280948873623,IGROV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000967,1.2868811477881614,SNUC2A,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000968,0.3334237337251918,COLO792,Melanoma,Skin,Melanoma
ACH-000969,0.6870606883398922,KM12,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000970,4.032982416699428,SNUC5,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000971,1.560714954474479,HCT116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000972,2.15704371014558,HEC151,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000973,2.950468414150123,639V,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer
ACH-000974,0.2630344058337938,SNGM,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000975,5.830863756751758,HCC2450,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000976,4.679198570566922,HUCCT1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000977,2.38404980679516,LNCAPCLONEFGC,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000978,0.1243281350022017,EN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000980,1.3561438102252754,NCIH1155,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000981,1.510961919277379,DND41,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000982,0.2265085298086797,GP2D,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000983,0.3334237337251918,KCL22,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000984,2.3950627995175777,HEC6,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000985,0.8318772411916731,LS411N,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000986,0.7136958148433591,HT115,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000987,0.0976107966264223,MEWO,Melanoma,Skin,Melanoma
ACH-000988,0.0840642647884745,MFE319,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000989,0.8639384504239714,SNU175,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000990,1.6415460290875237,HEC108,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000991,2.935459747805289,SNU81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000993,2.263034405833794,JHUEM7,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000994,0.2630344058337938,HEC59,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000995,1.2690331464552371,JURKAT,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000996,1.1176950426697545,HEC251,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
